%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
3365182000000,327865,3365182000000,world,-2.40790095709,0.163793380996,1.91441728671,0.00175044073755,0.00287565372097,0.353713274703,-0.93534784218
3365192000000,327866,3365192000000,world,-2.40671145132,0.162721748842,1.91441717189,0.00179970650036,0.00300865974804,0.353353877829,-0.935483161819
3365202000000,327867,3365202000000,world,-2.40552614961,0.161655434453,1.91441704914,0.00184570474966,0.00313343144877,0.352994402153,-0.935618366125
3365212000000,327868,3365212000000,world,-2.4043445546,0.160593995437,1.91441691857,0.00187760144479,0.00322121178785,0.352634883165,-0.935753566695
3365222000000,327869,3365222000000,world,-2.40316704867,0.159537763979,1.91441677969,0.00189921478167,0.00328204148433,0.352275302973,-0.935888739168
3365232000000,327870,3365232000000,world,-2.40199385903,0.158486934547,1.9144166322,0.00191259461766,0.00332130051161,0.351915648689,-0.936023871038
3365244000000,327871,3365242000000,world,-2.40082510752,0.157441608376,1.91441647608,0.00191867222261,0.00334140895945,0.351555917526,-0.936158955806
3365252000000,327872,3365252000000,world,-2.39966088204,0.156401856431,1.91441631154,0.00191831511756,0.00334462201203,0.351196106025,-0.936293986248
3365262000000,327873,3365262000000,world,-2.39850124302,0.15536772521,1.91441613885,0.00191237358128,0.00333315444457,0.350836212201,-0.936428953588
3365272000000,327874,3365272000000,world,-2.39734622329,0.154339236717,1.91441595845,0.00190162482786,0.00330903226992,0.350476234286,-0.93656384904
3365282000000,327875,3365282000000,world,-2.39619414261,0.153314923701,1.91441577379,0.00186069588255,0.00320434332666,0.350116315446,-0.936698903412
3365296000000,327876,3365292000000,world,-2.395040759,0.152291102613,1.91441558853,0.00172719075784,0.00285185626912,0.349756879588,-0.936834568592
3365302000000,327877,3365302000000,world,-2.39389146471,0.151272458565,1.91441539434,0.00159258572547,0.00249608897878,0.349397495886,-0.936969915781
3365311000000,327878,3365312000000,world,-2.39274689655,0.150259534831,1.91441519675,0.00147526403303,0.00218630908483,0.349038005155,-0.93710485785
3365323000000,327879,3365322000000,world,-2.3916062423,0.149251618214,1.91441500128,0.00137022844789,0.00190916350115,0.348678428939,-0.93723947354
3365332000000,327880,3365332000000,world,-2.39046891739,0.148248194573,1.91441481177,0.00127519240458,0.00165853545001,0.348318759809,-0.937373812686
3365342000000,327881,3365342000000,world,-2.38933448791,0.147248881156,1.91441463117,0.00118954052529,0.00143279046517,0.347958994618,-0.937507904057
3365352000000,327882,3365352000000,world,-2.38820255904,0.146253329832,1.91441446166,0.00111265686292,0.00123029484839,0.347599125704,-0.937641773909
3365362000000,327883,3365362000000,world,-2.38707276818,0.145261221103,1.91441430476,0.00104385958094,0.00104923775632,0.347239149901,-0.937775443394
3365372000000,327884,3365372000000,world,-2.38594478839,0.144272267012,1.91441416146,0.000982497230585,0.000887889331964,0.346879063676,-0.937908930299
3365382000000,327885,3365382000000,world,-2.38482017569,0.143287791803,1.91441404213,0.000956037983665,0.000820618489481,0.346518783767,-0.938042187257
3365391000000,327886,3365392000000,world,-2.38370330439,0.142311521044,1.91441396908,0.0010318604294,0.00103012683258,0.346158129962,-0.938175049319
3365402000000,327887,3365402000000,world,-2.38258800685,0.141338164552,1.91441390521,0.00111162905591,0.00125044509985,0.345797430189,-0.938307698968
